sample_idx,total_votes,n_nonzero_bins,peak_cluster,snr,peak_theta,peak_tx,peak_ty,confirmed,n_focused,n_discarded,focus_th_lo,focus_th_hi,focus_tx_lo,focus_tx_hi,focus_ty_lo,focus_ty_hi
1800,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,891,-29.5049,-29.4951,97.586,97.6843,-78.3883,-78.29
1900,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,941,-29.502,-29.498,97.6155,97.6548,-78.3588,-78.3195
2000,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,994,-29.502,-29.498,97.6155,97.6548,-78.3588,-78.3195
2100,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,1043,-29.5008,-29.4992,97.6273,97.643,-78.347,-78.3313
2200,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,1093,-29.5008,-29.4992,97.6273,97.643,-78.347,-78.3313
2300,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,1139,-29.5003,-29.4997,97.632,97.6383,-78.3423,-78.336
2400,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,1192,-29.5003,-29.4997,97.632,97.6383,-78.3423,-78.336
2500,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,1242,-29.5001,-29.4999,97.6339,97.6364,-78.3404,-78.3379
2600,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,1294,-29.5001,-29.4999,97.6339,97.6364,-78.3404,-78.3379
2700,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,1351,-29.5001,-29.4999,97.6347,97.6357,-78.3397,-78.3387
2800,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,1395,-29.5001,-29.4999,97.6347,97.6357,-78.3397,-78.3387
2900,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,1455,-29.5,-29.5,97.635,97.6354,-78.3394,-78.339
3000,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,1498,-29.5,-29.5,97.635,97.6354,-78.3394,-78.339
3100,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,1563,-29.5,-29.5,97.6351,97.6352,-78.3393,-78.3391
3200,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,1615,-29.5,-29.5,97.6351,97.6352,-78.3393,-78.3391
3300,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,1670,-29.5,-29.5,97.6351,97.6352,-78.3392,-78.3391
3400,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,1715,-29.5,-29.5,97.6351,97.6352,-78.3392,-78.3391
3500,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,1772,-29.5,-29.5,97.6352,97.6352,-78.3392,-78.3392
3600,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,1816,-29.5,-29.5,97.6352,97.6352,-78.3392,-78.3392
3700,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,1876,-29.5,-29.5,97.6352,97.6352,-78.3392,-78.3392
3800,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,1927,-29.5,-29.5,97.6352,97.6352,-78.3392,-78.3392
3900,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,1982,-29.5,-29.5,97.6352,97.6352,-78.3392,-78.3392
4000,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,2030,-29.5,-29.5,97.6352,97.6352,-78.3392,-78.3392
4100,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,2085,-29.5,-29.5,97.6352,97.6352,-78.3392,-78.3392
4200,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,2142,-29.5,-29.5,97.6352,97.6352,-78.3392,-78.3392
4300,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,2185,-29.5,-29.5,97.6352,97.6352,-78.3392,-78.3392
4400,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,2249,-29.5,-29.5,97.6352,97.6352,-78.3392,-78.3392
4500,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,2311,-29.5,-29.5,97.6352,97.6352,-78.3392,-78.3392
4600,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,2367,-29.5,-29.5,97.6352,97.6352,-78.3392,-78.3392
4700,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,2421,-29.5,-29.5,97.6352,97.6352,-78.3392,-78.3392
4800,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,2476,-29.5,-29.5,97.6352,97.6352,-78.3392,-78.3392
4900,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,2524,-29.5,-29.5,97.6352,97.6352,-78.3392,-78.3392
5000,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,2592,-29.5,-29.5,97.6352,97.6352,-78.3392,-78.3392
